imageURL,imageID,original,inc_quantity,inc_location,inc_object,inc_gender-number,inc_gender,inc_full,sim_original,sim_quantity,sim_location,sim_object,sim_gender-number,sim_gender,sim_full
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A young woman in glasses is holding a hot dog.,NA,NA,A young woman in glasses is holding a book.,NA,A young man in glasses is holding a hot dog.,"Two young men in glasses are holding burgers at a party.
",0.4111059382557869,0.0,0.0,0.08602427318692207,0.0,0.2608783543109894,0.0
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person holding a green plastic knife getting ready to cut a white cake.,NA,NA,A person holding a green plastic knife getting ready to cut a red apple.,NA,NA,"Two men holding blue plastic knives getting ready to cut a chocolate cake in the kitchen.
",0.417732335627079,0.0,0.0,0.05408857949078083,0.0,0.0,0.1886182464659214
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman holds a hot dog with toppings while sitting on a bench.,NA,A woman holds a hot dog with toppings while sitting at a picnic table.,A woman holds a book with toppings while sitting on a bench.,Two men hold hot dogs with toppings while sitting on a bench.,A man holds a hot dog with toppings while sitting on a bench.,"Two men hold hamburgers with fries while standing in a bar.
",0.47170430421829224,0.0,0.4428151622414589,0.3054097853600979,0.14606935903429985,0.3334161639213562,0.0
./coco-images/images/COCO_train2014_000000475999.jpg,475999,A large stack of brownies at a market.,A small stack of brownies at a market.,A large stack of brownies at a school.,A large stack of apples at a market.,NA,NA,"A single book at a school.
",0.5352038890123367,0.4817879945039749,0.49160052090883255,0.19296733662486076,0.0,0.0,0.0
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person is getting ready to cut a white cake.,NA,NA,A person is getting ready to cut a red ribbon.,Several men are getting ready to cut a white cake.,NA,"Two men are preparing to slice a chocolate cake in the kitchen.
",0.39042286574840546,0.0,0.0,0.1261952519416809,0.32882392406463623,0.0,0.15240630134940147
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier cuts a large American military-themed cake.,NA,NA,A soldier cuts a large American military-themed banana.,NA,NA,"Two female soldiers slice a small British military-themed cookie at the base.
",0.4893796890974045,0.0,0.0,0.20832188427448273,0.0,0.0,0.3068079799413681
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man in a black t-shirt stands in front of a birthday cake in a kitchen.,NA,A man in a black t-shirt stands in front of a birthday cake in a restaurant.,A man in a black t-shirt stands in front of a stove in a kitchen.,NA,A woman in a black t-shirt stands in front of a birthday cake in a kitchen.,"Two women in red blouses stand in front of a graduation cake in a dining room.
",0.5228663608431816,0.0,0.36481205374002457,0.2946891635656357,0.0,0.39578650146722794,0.007312558591365814
./coco-images/images/COCO_train2014_000000266311.jpg,266311,A man doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,Several men doing handstand tricks on skateboards near the beach and next to a group of parked bicycles.,A man doing a handstand trick on a skateboard in a city park and next to a group of parked bicycles.,A man doing a handstand trick on a surfboard near the beach and next to a group of parked bicycles.,NA,A woman doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,"""A group of women performing a handstand trick on roller skates in a park",0.47803282737731934,0.439208447933197,0.29760250821709633,0.40306445211172104,0.0,0.4110778495669365,0.10558534413576126
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A dog riding on a motorcycle with a person,NA,NA,A cat riding on a motorcycle with a person,NA,NA,"Two cats sailing on a boat with people.
",0.40740739554166794,0.0,0.0,0.2438116818666458,0.0,0.0,0.0
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A woman with glasses sitting at a table with a slice of pizza in front of her and a soft drink cup.,NA,A woman with glasses sitting at a counter with a slice of pizza in front of her and a soft drink cup.,A woman with glasses sitting at a table with a book in front of her and a coffee mug.,NA,A man with glasses sitting at a table with a slice of pizza in front of him and a soft drink cup.,"Two men with sunglasses standing by a food truck with burgers in their hands and cans of soda.
",0.4940880462527275,0.0,0.5027248710393906,0.2297230251133442,0.0,0.35882264375686646,0.0
