imageURL,imageID,original,inc_quantity,inc_location,inc_object,inc_gender-number,inc_gender,inc_full,sim_original,sim_quantity,sim_location,sim_object,sim_gender-number,sim_gender,sim_full
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A young woman in glasses is holding a hot dog.,NA,NA,A young woman in glasses is holding a book.,NA,A young man in glasses is holding a hot dog.,"Two young men in glasses are holding burgers at a party.
",0.4359562322497368,0.0,0.0,0.05679005291312933,0.0,0.34281618893146515,0.0
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person holding a green plastic knife getting ready to cut a white cake.,NA,NA,A person holding a green plastic knife getting ready to cut a red apple.,NA,NA,"Two men holding blue plastic knives getting ready to cut a chocolate cake in the kitchen.
",0.5008582398295403,0.0,0.0,0.11421487666666508,0.0,0.0,0.22318579256534576
./coco-images/images/COCO_train2014_000000196545.jpg,196545,A woman holds a hot dog with toppings while sitting on a bench.,NA,A woman holds a hot dog with toppings while sitting at a picnic table.,A woman holds a book with toppings while sitting on a bench.,Two men hold hot dogs with toppings while sitting on a bench.,A man holds a hot dog with toppings while sitting on a bench.,"Two men hold hamburgers with fries while standing in a bar.
",0.5842847377061844,0.0,0.5021462962031364,0.32647058367729187,0.30968451872467995,0.46310093253850937,0.0
./coco-images/images/COCO_train2014_000000475999.jpg,475999,A large stack of brownies at a market.,A small stack of brownies at a market.,A large stack of brownies at a school.,A large stack of apples at a market.,NA,NA,"A single book at a school.
",0.5684629827737808,0.5274038016796112,0.5018329620361328,0.17410609871149063,0.0,0.0,0.0
./coco-images/images/COCO_train2014_000000134599.jpg,134599,A person is getting ready to cut a white cake.,NA,NA,A person is getting ready to cut a red ribbon.,Several men are getting ready to cut a white cake.,NA,"Two men are preparing to slice a chocolate cake in the kitchen.
",0.4294203221797943,0.0,0.0,0.16135204583406448,0.3830525651574135,0.0,0.15780800953507423
./coco-images/images/COCO_train2014_000000488127.jpg,488127,A soldier cuts a large American military-themed cake.,NA,NA,A soldier cuts a large American military-themed banana.,NA,NA,"Two female soldiers slice a small British military-themed cookie at the base.
",0.5916912108659744,0.0,0.0,0.49977943301200867,0.0,0.0,0.30000925064086914
./coco-images/images/COCO_train2014_000000096222.jpg,96222,A man in a black t-shirt stands in front of a birthday cake in a kitchen.,NA,A man in a black t-shirt stands in front of a birthday cake in a restaurant.,A man in a black t-shirt stands in front of a stove in a kitchen.,NA,A woman in a black t-shirt stands in front of a birthday cake in a kitchen.,"Two women in red blouses stand in front of a graduation cake in a dining room.
",0.5055008083581924,0.0,0.35426221787929535,0.3083571791648865,0.0,0.39685461670160294,0.07885437458753586
./coco-images/images/COCO_train2014_000000266311.jpg,266311,A man doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,Several men doing handstand tricks on skateboards near the beach and next to a group of parked bicycles.,A man doing a handstand trick on a skateboard in a city park and next to a group of parked bicycles.,A man doing a handstand trick on a surfboard near the beach and next to a group of parked bicycles.,NA,A woman doing a handstand trick on a skateboard near the beach and next to a group of parked bicycles.,"""A group of women performing a handstand trick on roller skates in a park",0.5122014135122299,0.4299522936344147,0.40222056210041046,0.44357873499393463,0.0,0.4409857839345932,0.17427269369363785
./coco-images/images/COCO_train2014_000000195449.jpg,195449,A dog riding on a motorcycle with a person,NA,NA,A cat riding on a motorcycle with a person,NA,NA,"Two cats sailing on a boat with people.
",0.4210003465414047,0.0,0.0,0.3137662261724472,0.0,0.0,0.0
./coco-images/images/COCO_train2014_000000449904.jpg,449904,A woman with glasses sitting at a table with a slice of pizza in front of her and a soft drink cup.,NA,A woman with glasses sitting at a counter with a slice of pizza in front of her and a soft drink cup.,A woman with glasses sitting at a table with a book in front of her and a coffee mug.,NA,A man with glasses sitting at a table with a slice of pizza in front of him and a soft drink cup.,"Two men with sunglasses standing by a food truck with burgers in their hands and cans of soda.
",0.6440956145524979,0.0,0.6173954159021378,0.21448060870170593,0.0,0.48662398010492325,0.0
